CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
spacemap,552,57641,STARLINK-30312 [+],,Unknown,36258,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-26 00:31:12.921,0.4531036207382815,11.138,0.147,0.001,0.0003,0.0013,1.558e-05,9.084751444905074e-06,0.5831034303533424
Celestrak,556,57170,OBJECT E [+],,Unknown,57232,STARLINK-5872 [+],Unknown,Unknown,2023-09-28 00:54:44.390,0.454,12.621,0.172,0.001,0.0015,0.0025,1.33e-05,3.351408059276661e-05,0.0
spacemap,556,57170,OBJECT E [+],,Unknown,57232,STARLINK-5872 [+],Unknown,Unknown,2023-09-28 00:54:44.390,0.45365933175301765,12.621,0.172,0.001,0.0015,0.0025,1.33e-05,3.351408059276661e-05,2.5198556836666626
Celestrak,611,56955,BLACKJACK ACES-2 [+],,Unknown,57361,STARLINK-6340 [+],,Unknown,2023-09-24 20:35:21.326,0.472,8.531,0.131,0.001,0.001,0.002,1.682e-05,1.982675880540041e-05,0.0
spacemap,611,56955,BLACKJACK ACES-2 [+],,Unknown,57361,STARLINK-6340 [+],,Unknown,2023-09-24 20:35:21.326,0.47185837605531794,8.531,0.131,0.001,0.001,0.002,1.682e-05,1.982675880540041e-05,1.1787609277883715
Celestrak,633,57186,CSTP 1.2 (STC 1.2) [+],,Unknown,57196,OBJECT AG [+],,Unknown,2023-09-27 15:53:26.415,0.482,0.002,0.114,0.001,0.001,0.002,1.893e-05,1.9010930870393072e-05,0.0
spacemap,633,57186,CSTP 1.2 (STC 1.2) [+],,Unknown,57196,OBJECT AG [+],,Unknown,2023-09-27 15:53:26.415,0.48187686903252175,0.002,0.114,0.001,0.001,0.002,1.893e-05,1.9010930870393072e-05,1.0042752704909177
Celestrak,658,57186,CSTP 1.2 (STC 1.2) [+],,Unknown,36732,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-30 14:51:44.113,0.491,5.125,0.122,0.001,0.0003,0.0013,1.738e-05,7.74992274854121e-06,0.0
spacemap,658,57186,CSTP 1.2 (STC 1.2) [+],,Unknown,36732,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-30 14:51:44.113,0.49057539781307696,5.125,0.122,0.001,0.0003,0.0013,1.738e-05,7.74992274854121e-06,0.44591039980099023
Celestrak,670,57457,STARLINK-30165 [+],,Unknown,40029,FLOCK 1C-2 [-],Unknown,Unknown,2023-09-28 04:42:33.634,0.495,10.714,0.156,0.001,0.0015,0.0025,6.579e-06,2.812160515554635e-05,0.0
spacemap,670,57457,STARLINK-30165 [+],,Unknown,40029,FLOCK 1C-2 [-],Unknown,Unknown,2023-09-28 04:42:33.634,0.49525063617946696,10.714,0.156,0.001,0.0015,0.0025,6.579e-06,2.812160515554635e-05,4.274449788044741
Celestrak,696,56377,STARLINK-6189 [+],,Unknown,57208,SITRO-AIS 11 (SHEFFER) [+],,Unknown,2023-09-26 20:29:26.569,0.505,9.342,0.146,0.001,0.001,0.002,1.408e-05,1.7295735266968e-05,0.0
spacemap,696,56377,STARLINK-6189 [+],,Unknown,57208,SITRO-AIS 11 (SHEFFER) [+],,Unknown,2023-09-26 20:29:26.569,0.5052063060074081,9.342,0.146,0.001,0.001,0.002,1.408e-05,1.7295735266968e-05,1.228390288847159
Celestrak,713,56730,IRIDIUM 179 [+],,Unknown,38298,CZ-2D DEB [-],Unknown,Unknown,2023-09-24 08:52:59.807,0.509,8.094,0.139,0.001,0.0003,0.0013,1.47e-05,7.205642675352894e-06,0.0
spacemap,713,56730,IRIDIUM 179 [+],,Unknown,38298,CZ-2D DEB [-],Unknown,Unknown,2023-09-24 08:52:59.807,0.508766200000993,8.094,0.139,0.001,0.0003,0.0013,1.47e-05,7.205642675352894e-06,0.49017977383353023
Celestrak,736,57416,STARLINK-30224 [+],,Unknown,27226,PSLV DEB [-],Unknown,Unknown,2023-09-25 16:08:56.089,0.517,13.481,0.223,0.001,0.0003,0.0013,9.018e-06,6.979089008679244e-06,0.0
spacemap,736,57416,STARLINK-30224 [+],,Unknown,27226,PSLV DEB [-],Unknown,Unknown,2023-09-25 16:08:56.089,0.5169580593447055,13.481,0.223,0.001,0.0003,0.0013,9.018e-06,6.979089008679244e-06,0.7739065212551833
Celestrak,742,57797,YAOGAN-33 03 [+],,Unknown,34473,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-30 18:16:59.659,0.518,3.138,0.125,0.001,0.0003,0.0013,1.614e-05,6.954288600343934e-06,0.0
spacemap,742,57797,YAOGAN-33 03 [+],,Unknown,34473,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-30 18:16:59.659,0.5178790365337144,3.138,0.125,0.001,0.0003,0.0013,1.614e-05,6.954288600343934e-06,0.43087289964956216
Celestrak,768,56956,BLACKJACK ACES-1 [+],,Unknown,49030,CZ-2C R/B [-],Unknown,Unknown,2023-09-30 18:13:19.012,0.525,9.919,0.157,0.001,0.0015,0.0025,1.264e-05,2.506117178444475e-05,0.0
spacemap,768,56956,BLACKJACK ACES-1 [+],,Unknown,49030,CZ-2C R/B [-],Unknown,Unknown,2023-09-30 18:13:19.012,0.5246205661275418,9.919,0.157,0.001,0.0015,0.0025,1.264e-05,2.506117178444475e-05,1.9826876411744268
Celestrak,770,57643,STARLINK-30280 [+],,Unknown,36597,CZ-2D R/B [-],Unknown,Unknown,2023-10-01 07:15:55.686,0.526,7.043,0.138,0.001,0.0015,0.0025,1.437e-05,2.496412098972805e-05,0.0
spacemap,770,57643,STARLINK-30280 [+],,Unknown,36597,CZ-2D R/B [-],Unknown,Unknown,2023-10-01 07:15:55.686,0.5256393719878307,7.043,0.138,0.001,0.0015,0.0025,1.437e-05,2.496412098972805e-05,1.737238760593462
Celestrak,809,57190,NANOZOND 1 (RS49S) [+],,Unknown,57205,ARCCUBE 1 (RS25S) [+],,Unknown,2023-09-28 15:00:53.421,0.544,0.003,0.128,0.001,0.001,0.002,1.494e-05,1.4937833293182635e-05,0.0
spacemap,809,57190,NANOZOND 1 (RS49S) [+],,Unknown,57205,ARCCUBE 1 (RS25S) [+],,Unknown,2023-09-28 15:00:53.421,0.5436196782075582,0.003,0.128,0.001,0.001,0.002,1.494e-05,1.4937833293182635e-05,0.9998549727699221
Celestrak,813,57023,OBJECT V [+],,Unknown,54937,CZ-6A DEB [-],Unknown,Unknown,2023-09-30 23:22:42.148,0.545,6.044,0.139,0.001,0.0003,0.0013,1.376e-05,6.274434600505526e-06,0.0
spacemap,813,57023,OBJECT V [+],,Unknown,54937,CZ-6A DEB [-],Unknown,Unknown,2023-09-30 23:22:42.148,0.545214739835642,6.044,0.139,0.001,0.0003,0.0013,1.376e-05,6.274434600505526e-06,0.45599088666464577
Celestrak,820,57190,NANOZOND 1 (RS49S) [+],,Unknown,57515,STARLINK-30081 [+],Unknown,Unknown,2023-09-26 00:37:48.344,0.546,12.605,0.207,0.001,0.0015,0.0025,9.214e-06,2.3147653591328015e-05,0.0
spacemap,820,57190,NANOZOND 1 (RS49S) [+],,Unknown,57515,STARLINK-30081 [+],Unknown,Unknown,2023-09-26 00:37:48.344,0.5458748379768865,12.605,0.207,0.001,0.0015,0.0025,9.214e-06,2.3147653591328015e-05,2.512226350263514
Celestrak,831,57336,STARLINK-6320 [+],,Unknown,26121,CZ-4B DEB [-],Unknown,Unknown,2023-09-30 07:52:02.933,0.55,14.208,0.277,0.001,0.0003,0.0013,6.831e-06,6.156992730133968e-06,0.0
spacemap,831,57336,STARLINK-6320 [+],,Unknown,26121,CZ-4B DEB [-],Unknown,Unknown,2023-09-30 07:52:02.933,0.5503900843229544,14.208,0.277,0.001,0.0003,0.0013,6.831e-06,6.156992730133968e-06,0.9013310979554923
Celestrak,857,56890,STARLINK-5528 [+],,Unknown,57217,KUZGTU 1 (RS47S) [+],Unknown,Unknown,2023-09-24 16:35:33.845,0.561,8.256,0.154,0.001,0.0015,0.0025,1.202e-05,2.1887426364977533e-05,0.0
